"Tshivenda",,,
"Speaker","Gender","Line","Age"
001,"male","cellphone",25
002,"male","landline",80
003,"female","cellphone",18
004,"female","landline",80
005,"male","cellphone",35
006,"male","landline",39
007,"female","cellphone",39
008,"female","landline",38
009,"male","cellphone",48
010,"male","landline","Not Available"
011,"female","cellphone",22
012,"female","landline",20
013,"male","cellphone",36
014,"male","landline",39
015,"female","cellphone",33
016,"female","landline",43
017,"male","cellphone",19
018,"male","landline",18
019,"female","cellphone",25
020,"female","landline",20
021,"male","cellphone",43
022,"male","landline",57
023,"female","cellphone",40
024,"female","landline",63
025,"male","cellphone",27
026,"female","cellphone",18
027,"female","cellphone",36
028,"female","landline",18
029,"male","cellphone",48
030,"male","landline",59
031,"female","cellphone",14
032,"female","landline",45
033,"male","cellphone",40
034,"male","landline",80
035,"female","landline",25
036,"female","landline",80
037,"male","cellphone",37
038,"male","landline",49
039,"female","cellphone",36
040,"female","landline",52
041,"male","cellphone",24
042,"male","landline",22
043,"female","cellphone",26
044,"female","landline",23
045,"male","cellphone",57
046,"male","landline",34
047,"female","cellphone",45
048,"female","landline",44
049,"male","cellphone",35
050,"male","landline",20
051,"female","cellphone","40s"
052,"female","landline",27
053,"male","cellphone",36
054,"male","landline",37
055,"female","cellphone",50
056,"female","landline",37
057,"male","cellphone",24
058,"male","landline",26
059,"female","cellphone",32
060,"female","landline",12
061,"male","cellphone",47
062,"male","landline",46
063,"female","cellphone",14
064,"female","landline",38
065,"male","cellphone",19
066,"male","landline",32
067,"female","cellphone",25
068,"female","landline",26
069,"male","cellphone",33
070,"male","landline",36
071,"female","cellphone",40
072,"female","landline",34
073,"male","cellphone",90
074,"male","landline",20
075,"female","cellphone",24
076,"female","landline",12
077,"male","cellphone",36
078,"male","landline",47
079,"female","landline",52
080,"female","landline",45
081,"male","cellphone",32
082,"male","landline",20
083,"female","cellphone",20
084,"female","landline",26
085,"male","cellphone",47
086,"male","landline",39
087,"female","cellphone",39
088,"female","landline","Not Available"
089,"male","cellphone",32
090,"male","landline",32
091,"female","cellphone",20
092,"female","landline",32
093,"male","cellphone",34
094,"male","landline",45
095,"female","cellphone",53
096,"female","landline","42s"
097,"male","cellphone",33
098,"male","landline",33
099,"female","cellphone",34
100,"female","landline",27
101,"male","landline",37
102,"male","landline",47
103,"female","cellphone",37
104,"female","landline",38
105,"male","cellphone",29
106,"male","landline",26
107,"female","cellphone",30
108,"female","landline",25
109,"male","cellphone",39
110,"male","landline",40
111,"female","cellphone",33
112,"female","landline",50
113,"male","cellphone",27
114,"male","landline",25
115,"female","landline",18
116,"male","cellphone",47
117,"male","landline",50
118,"female","cellphone",43
119,"female","landline",37
120,"male","cellphone",26
121,"male","landline",29
122,"female","cellphone",35
123,"female","landline",27
124,"male","cellphone",44
125,"male","landline",54
126,"female","cellphone",48
127,"female","landline",32
128,"female","cellphone",32
129,"male","landline",25
130,"female","cellphone",21
131,"female","landline",26
132,"male","cellphone",50
133,"male","landline",45
134,"female","cellphone",38
135,"female","landline",39
136,"male","cellphone",24
137,"male","landline",30
138,"female","cellphone",31
139,"female","landline",34
140,"male","cellphone",36
141,"male","landline",50
142,"female","cellphone",37
143,"female","landline",36
144,"male","cellphone",24
145,"male","landline",48
146,"female","cellphone",30
147,"female","landline",25
148,"male","cellphone",37
149,"male","landline",57
150,"female","cellphone",49
151,"female","landline",39
152,"male","cellphone",25
153,"male","landline",34
154,"female","cellphone",28
155,"female","landline",31
156,"male","cellphone",37
157,"male","landline",37
158,"female","cellphone",53
159,"female","landline",37
160,"male","cellphone",25
161,"male","landline",35
162,"female","cellphone",32
163,"female","landline",80
164,"male","cellphone",37
165,"male","landline",43
166,"female","cellphone",49
167,"female","landline",43
168,"male","cellphone",23
169,"male","landline",30
170,"female","cellphone",32
171,"female","landline",34
172,"male","cellphone",50
173,"male","landline",43
174,"female","cellphone",46
175,"female","landline",37
176,"male","cellphone",30
177,"male","landline",14
178,"female","cellphone",25
179,"female","landline",34
180,"male","cellphone",44
181,"male","landline",51
182,"female","cellphone",36
183,"female","landline",48
184,"male","cellphone",27
185,"male","landline",30
186,"female","cellphone",24
187,"male","cellphone",37
188,"male","landline",37
189,"female","cellphone",37
190,"female","landline",44
191,"male","cellphone",30
192,"male","landline",34
193,"female","cellphone",22
194,"female","landline",27
195,"male","cellphone",48
196,"male","landline",44
197,"female","cellphone",36
198,"female","landline",54
