"Sesotho",,,
"Speaker","Gender","Line","Age"
001,"male","cellphone",21
002,"male","landline",35
003,"female","cellphone",27
004,"female","landline",21
005,"male","cellphone",42
006,"Not Available","landline",50
007,"female","cellphone",30
008,"female","landline",36
009,"male","cellphone",36
010,"male","landline",40
011,"female","cellphone",31
012,"female","landline",28
013,"male","cellphone",51
014,"male","landline",40
015,"female","cellphone",28
016,"female","landline",34
017,"male","cellphone",24
018,"male","cellphone",22
019,"female","cellphone",22
020,"female","cellphone",27
021,"male","cellphone","30s"
022,"male","landline",36
023,"female","cellphone",55
024,"female","landline",50
025,"male","cellphone",18
026,"male","landline",18
027,"female","cellphone",29
028,"female","landline",26
029,"male","cellphone",45
030,"male","landline",39
031,"female","cellphone",26
032,"female","landline",
033,"male","cellphone",33
034,"male","landline",18
035,"female","cellphone",22
036,"female","landline",26
037,"male","landline",35
038,"female","cellphone",45
039,"female","cellphone",52
040,"female","landline",38
041,"male","cellphone",25
042,"male","cellphone",25
043,"female","cellphone","30s"
044,"female","landline",22
045,"male","Not Available",52
046,"male","landline",47
047,"female","landline",50
048,"male","cellphone",33
049,"male","landline",18
050,"female","cellphone",30
051,"female","landline",31
052,"male","cellphone",36
053,"male","landline",42
054,"female","landline",25
055,"female","landline",36
056,"male","cellphone",18
057,"male","cellphone",21
058,"female","cellphone",22
059,"female","landline",19
060,"male","Not Available",36
061,"male","landline",40
062,"female","cellphone",36
063,"female","landline",36
064,"male","cellphone",25
065,"male","cellphone",33
066,"female","cellphone",23
067,"female","cellphone",26
068,"male","cellphone",37
069,"male","landline",37
070,"female","cellphone",36
071,"female","cellphone",35
072,"male","cellphone",28
073,"male","landline",18
074,"female","cellphone",19
075,"female","cellphone",20
076,"male","cellphone",42
077,"female","cellphone",20
078,"female","cellphone",36
079,"female","landline",37
080,"male","cellphone",35
081,"male","landline",22
082,"female","cellphone",27
083,"female","landline",25
084,"male","cellphone","Not Available"
085,"Not Available","landline",36
086,"female","cellphone",40
087,"Not Available","landline",37
088,"male","cellphone",32
089,"Not Available","landline",19
090,"female","cellphone",29
091,"female","landline",28
092,"male","cellphone",42
093,"male","landline",34
094,"female","cellphone",50
095,"female","landline",47
096,"male","cellphone",24
097,"male","landline",20
098,"female","cellphone",32
099,"female","landline",35
100,"male","Not Available",38
101,"male","landline",39
102,"female","cellphone",42
103,"female","landline",40
104,"male","cellphone",30
105,"male","landline",19
106,"female","cellphone",21
107,"female","cellphone",23
108,"male","cellphone",47
109,"male","cellphone",66
110,"female","cellphone",34
111,"female","landline",47
112,"Not Available","cellphone",35
113,"male","landline",18
114,"female","cellphone",18
115,"female","landline",22
116,"male","cellphone",36
117,"male","landline",47
118,"female","cellphone",36
119,"female","landline",35
120,"male","cellphone",34
121,"male","landline",18
122,"female","cellphone",36
123,"Not Available","landline",26
124,"male","cellphone",34
125,"male","landline",36
126,"female","cellphone",36
127,"female","landline",36
128,"male","cellphone",34
129,"male","landline",30
130,"female","cellphone",26
131,"Not Available","landline",27
132,"male","cellphone",54
133,"male","landline",37
134,"female","cellphone",58
135,"female","landline",36
136,"male","cellphone",21
137,"male","landline",30
138,"female","cellphone","Not Available"
139,"female","landline",31
140,"male","cellphone",47
141,"Not Available","landline",36
142,"female","cellphone",36
143,"female","landline",41
144,"male","Not Available",18
145,"male","landline",13
146,"female","cellphone",21
147,"female","landline",50
148,"male","cellphone",32
149,"male","landline",37
150,"female","cellphone",46
151,"female","landline",36
152,"male","cellphone",34
153,"male","Not Available",34
154,"female","landline",30
155,"male","cellphone",36
156,"male","landline",54
157,"female","Not Available",52
158,"Not Available","Not Available",35
159,"male","cellphone",33
160,"male","landline",26
161,"female","landline",24
162,"female","landline",22
163,"male","cellphone",41
164,"male","cellphone",35
165,"female","cellphone",49
166,"female","landline",36
167,"Not Available","cellphone",29
168,"female","cellphone",32
169,"female","landline",31
170,"male","cellphone",40
171,"Not Available","landline",57
172,"Not Available","cellphone",63
173,"female","landline",50
174,"Not Available","male",29
175,"male","landline",21
176,"female","cellphone",26
177,"female","landline",32
178,"male","cellphone",62
179,"male","landline",32
180,"female","cellphone",42
181,"female","landline",51
182,"male","cellphone",27
183,"male","landline",21
184,"female","cellphone",24
185,"female","landline",27
186,"male","cellphone",42
187,"male","landline",47
188,"female","cellphone",44
189,"female","landline",43
190,"male","cellphone",27
191,"male","landline",32
192,"female","landline",39
193,"male","Not Available",38
194,"male","landline",49
195,"female","cellphone","Not Available"
196,"female","landline",42
197,"female","cellphone",27
198,"female","cellphone",18
199,"female","cellphone",27
200,"female","cellphone",21
201,"female","landline",44
202,"male","landline",49
