"Setswana",,,
"Speaker","Gender","Line","Age"
1,"male","cellphone",23
2,"male","Not Available",21
3,"female","cellphone",25
4,"female","landline",20
5,"male","cellphone",39
6,"male","cellphone",44
7,"female","landline",32
8,"male","cellphone",20
9,"male","landline",33
10,"female","cellphone","Not Available"
11,"female","landline",24
12,"male","cellphone",50
13,"male","Not Available",47
14,"female","cellphone",32
15,"female","landline",35
16,"male","cellphone",21
17,"male","landline",23
18,"female","Not Available",32
19,"female","landline",27
20,"male","cellphone",21
21,"male","cellphone",55
22,"female","cellphone",42
23,"female","cellphone",33
24,"male","cellphone",29
25,"male","landline",26
26,"female","cellphone",21
27,"Not Available","landline",20
28,"male","landline",40
29,"male","landline",61
30,"female","landline",19
31,"female","landline",42
32,"male","cellphone",25
33,"male","cellphone",21
34,"female","cellphone",27
35,"female","landline",22
36,"female","landline",22
37,"male","landline",37
38,"female","cellphone",39
39,"female","landline",48
40,"male","cellphone",19
41,"male","landline",20
42,"female","cellphone",21
43,"female","landline",28
44,"male","landline",36
45,"Not Available","landline",42
46,"female","cellphone",39
47,"female","landline",36
48,"male","cellphone",19
49,"male","cellphone",32
50,"female","cellphone",19
51,"female","landline",20
52,"male","landline",36
53,"female","cellphone",34
54,"female","cellphone",31
55,"male","cellphone",27
56,"male","landline",21
57,"female","cellphone",28
58,"female","landline",26
59,"male","cellphone",37
60,"male","landline",36
61,"female","cellphone",34
62,"female","cellphone",38
63,"male","cellphone",24
64,"male","landline",13
65,"Not Available","landline",20
66,"female","landline",31
67,"male","cellphone",30
68,"male","landline",44
69,"female","landline",48
70,"male","cellphone",21
71,"Not Available","cellphone",57
72,"female","cellphone",20
73,"female","landline",42
74,"male","landline",30
75,"male","landline",53
76,"female","landline",59
77,"female","landline",53
78,"male","cellphone",20
79,"Not Available","cellphone",33
80,"female","cellphone",29
81,"female","landline",31
82,"male","cellphone",38
83,"male","landline",53
84,"female","cellphone",54
85,"female","landline",44
86,"male","cellphone",23
87,"male","landline",28
88,"female","cellphone",23
89,"Not Available","Not Available","Not Available"
90,"male","landline",36
91,"male","landline",36
92,"female","cellphone",85
93,"female","landline",44
94,"male","cellphone",32
95,"female","landline",32
96,"female","cellphone",22
97,"female","landline",30
98,"Not Available","cellphone",35
99,"Not Available","Not Available",60
100,"female","cellphone",39
101,"female","landline",47
102,"male","cellphone",28
103,"male","landline",27
104,"female","landline",18
105,"male","landline",38
106,"male","landline",36
107,"female","landline",35
108,"female","landline",35
109,"male","cellphone",25
110,"male","landline",24
111,"female","cellphone",20
112,"female","landline",27
113,"male","landline",30
114,"male","landline",37
115,"female","cellphone",42
116,"female","landline",43
117,"male","cellphone",25
118,"male","landline",14
119,"female","cellphone",18
120,"female","cellphone",29
121,"male","cellphone",40
122,"male","landline",60
123,"female","cellphone",64
124,"female","landline",50
125,"male","cellphone",20
126,"female","cellphone",20
127,"female","cellphone",42
128,"male","cellphone",47
129,"male","cellphone",40
130,"female","cellphone",40
131,"Not Available","landline",39
132,"male","cellphone",21
133,"male","landline",21
134,"female","cellphone",24
135,"female","landline",20
136,"male","cellphone",37
137,"male","landline",38
138,"landline","female",36
139,"female","landline",46
140,"male","cellphone",20
141,"male","landline",23
142,"female","cellphone",29
143,"female","landline",26
144,"male","cellphone",45
145,"male","landline",34
146,"female","landline",46
147,"female","landline",15
148,"male","cellphone",21
149,"male","landline",20
150,"female","landline","Not Available"
151,"female","landline",24
152,"male","cellphone",48
153,"male","cellphone",34
154,"female","cellphone",38
155,"female","landline",43
156,"male","cellphone",33
157,"male","landline",18
158,"female","cellphone",23
159,"female","landline",21
160,"male","cellphone",34
161,"male","landline",37
162,"female","cellphone",39
163,"female","landline",50
164,"male","cellphone",18
165,"male","landline",33
166,"female","Not Available",20
167,"female","landline",90
168,"male","cellphone",37
169,"female","cellphone",40
170,"female","landline",58
171,"male","cellphone",28
172,"male","landline",19
173,"female","landline",20
174,"female","landline",23
175,"male","Not Available",35
176,"male","landline",35
177,"female","cellphone",45
178,"female","landline",48
179,"male","cellphone",36
180,"male","landline",21
181,"female","cellphone",33
182,"female","landline",20
183,"male","landline",35
184,"male","landline",44
185,"female","landline",52
186,"female","landline",45
187,"male","landline",48
188,"male","landline","Not Available"
189,"female","cellphone",19
190,"female","landline",28
191,"male","cellphone",49
192,"male","landline",53
193,"female","cellphone",48
194,"female","landline",54
195,"Not Available","landline",42
196,"male","cellphone",55
197,"male","cellphone",32
198,"male","Not Available",53
199,"male","landline",21
200,"male","landline",23
201,"female","landline",20
202,"male","landline",40
203,"female","landline",39
