*Au+ Q  % XX344LF006.TextGrid
*Bo+ bO  % XX191LM001.TextGrid
*Bodoza dOza  % XX377LM003.TextGrid
*Bronkhorst0spruit brONkOts0sprE-\It  % XX262LM031.TextGrid
*Bronko+ brONkO  % XX262LM031.TextGrid
*Da+ da  % XX004CF013.TextGrid
*Das+ das  % XX161CF024.TextGrid
*Delft dElf  % XX130LF012.TextGrid
*Di+ di  % XX000CM014.TextGrid
*Dzudzu t-\s_>u:t-\s_>u  % XX142CF002.TextGrid
*Epreli ejiprEl  % XX054CF027.TextGrid
*Februwari fEbwari  % XX050CF013.TextGrid
*Febuwari feb_0wari  % XX167CF006.TextGrid
*Febuwari fEb_0wari  % XX329LF006.TextGrid
*Gugulethu ugulet_hu  % XX069LF012.TextGrid
*Jun+ d-\Zu:  % XX145LM010.TextGrid
*Kapa ap_>a  % XX156CF011.TextGrid
*Khayamandi k_hajama  % XX012LF013.TextGrid
*Koloni k_>OlOn  % XX075CM010.TextGrid
*Makatesi mak_>at_>es  % XX208CF002.TextGrid
*Matric trik  % XX077LM009.TextGrid
*Mzimasi mzimas  % XX077CM002.TextGrid
*Mzimasi muzimasi  % XX077LM002.TextGrid
*Nceven+ |\~EvEn  % XX124LM002.TextGrid
*No+ nO:  % XX180LM002.TextGrid
*Parys pe-\Is  % XX144CF033.TextGrid
*Sindi+ sindi  % XX089LF002.TextGrid
*Sitokwe st_>Ok_>wE  % XX077LM002.TextGrid
*Steynsburg stE-\insb@k  % XX041LF012.TextGrid
*Ta+ t_>a  % XX147CF002.TextGrid
*Thembal+ t_hEmbal  % XX234CM002.TextGrid
*We+ wE  % XX012LF022.TextGrid
*Westonaria wEstQnEnErija  % XX012LF022.TextGrid
*Yandiswa jandiswO  % XX208CF002.TextGrid
*a a  % XX143LM027.TextGrid
*a+ a  % XX007LF017.TextGrid XX021CM023.TextGrid XX097LM020.TextGrid XX143LM032.TextGrid XX193LM019.TextGrid XX243LF032.TextGrid
*aba+ ab_<a  % XX067LF026.TextGrid XX102CM032.TextGrid XX130LF032.TextGrid XX151CM034.TextGrid XX172LM029.TextGrid XX184LM032.TextGrid XX227LF038.TextGrid XX311CM029.TextGrid
*aba0mhokamhoka+ ab_<a0mOk_>amOk_>a  % XX055LF021.TextGrid XX155CM022.TextGrid
*abam+ ab_<am  % XX047LM031.TextGrid XX077CM034.TextGrid XX173LM026.TextGrid XX220LF137.TextGrid
*abam-mho0k0am+ ab_<ammO0k_>0am  % XX218LF035.TextGrid
*abam0mho0kamho0kana ab_<am0mO0k_>amO0k_>Ona  % XX152LM027.TextGrid
*abamhoka+ ab_<amOk_>a  % XX196LF029.TextGrid
*abamhokamhoka+ ab_<amOk_>amOk_>a  % XX102CM032.TextGrid
*abamhokamhokana ab_<amhOk_>ana  % XX172LM029.TextGrid
*abamhokamhokana ab_<anamOk_>amOk_>ana  % XX215LF030.TextGrid
*abamhokamhokana ab_<amah\Ok_>Oh\Ok_>wana  % XX067LF026.TextGrid
*abamhoko+ ab_<amOk_>O  % XX102CM032.TextGrid
*abamhomhuka ab_<amomuk_>a  % XX151CM034.TextGrid
*abamhwa+ ab_<amwa  % XX012LF032.TextGrid
*abamoka+ ab_<amOk_>a  % XX397LM037.TextGrid
*abanga-mh+ ab_<aNgam  % XX218LF035.TextGrid
*abangamahoha ab_<aNgamah\Oh\a  % XX162CF021.TextGrid
*abangoo+ ab_<aNgO:  % XX075CM037.TextGrid
*abanoku0bubele ab_<anok_>u0b_<ub_<ElE  % XX067LF035.TextGrid
*abanom+ ab_<anOm  % XX050CF029.TextGrid XX197LM025.TextGrid
*abomho+ ab_<OmhO  % XX172LM029.TextGrid
*akukho ak_hO  % XX077CM013.TextGrid
*akwa+ ak_>wa  % XX211LM031.TextGrid
*akwakhiw+ ak_>wak_hiw  % XX211LM031.TextGrid
*ali+ ali  % XX022LF035.TextGrid
*alikh+ alik_h  % XX022LF035.TextGrid
*alis+ alis  % XX077LM034.TextGrid XX115LF021.TextGrid
*alithoba alt_hOb_<a  % XX359LF025.TextGrid
*am+ am  % XX098LF029.TextGrid XX328LF014.TextGrid
*ama+ ama  % XX029LF031.TextGrid XX054CF035.TextGrid XX067LF026.TextGrid XX089LF014.TextGrid XX102CF006.TextGrid XX115LF021.TextGrid XX244LF027.TextGrid XX303LF021.TextGrid
*amabini mab_<in  % XX172LM005.TextGrid
*amahlanu amaKan  % XX054CF035.TextGrid XX300LM030.TextGrid
*amajela amad-\ZEla  % XX155CM022.TextGrid
*amajelo amad-\ZjElO  % XX162CF021.TextGrid
*amashumi;amabini maSumamab_<ini  % XX222LM005.TextGrid
*amathan+ amat_han  % XX100LM126.TextGrid
*amaxhakana ama|\|\_hak_>an  % XX050CF002.TextGrid
*an+ an  % XX054CF035.TextGrid
*an+ En  % XX360LF001.TextGrid
*ana+ ana  % XX054CF035.TextGrid XX244LF027.TextGrid
*ana0mashumi anE0maSumi  % XX100LM121.TextGrid
*anambini anamambini  % XX097LM020.TextGrid
*ananye anaJ  % XX346LM014.TextGrid
*anaz+ anaz  % XX328LF014.TextGrid
*and n  % XX072LF029.TextGrid
*andinaso;isitalato anasist_>alat_>O  % XX097LM013.TextGrid
*andisi+ andisi  % XX340CF017.TextGrid
*andisi+ andisi:  % XX095LF017.TextGrid
*andisiphathanga andisp_hat_haNga  % XX397LM007.TextGrid
*andisiva anisifa  % XX033LF017.TextGrid
*andisiva andisivi  % XX054CF017.TextGrid
*andisiva;isitshayina ndisivit-\Sa-\in  % XX170LM017.TextGrid
*anditshatanga ant-\S_hat_>aNga  % XX145LM018.TextGrid XX170CF018.TextGrid
*anditshatanga andt-\S_hat_>aN  % XX156CF018.TextGrid
*anditshatanga andiSat_>@aNga  % XX351LM018.TextGrid
